pandaid,creationtime,starttime,endtime,computingelement,assignedpriority,currentpriority,jobstatus,jobname,cpuconsumptiontime,computingsite,cpuconversion,job_walltime,job_queuetime,cpu_eff,destinationdblock,destinationse,sourcesite,transfertype,corecount,ninputdatafiles,inputfilebytes,noutputdatafiles,outputfilebytes,piloterrorcode,exeerrorcode,ddmerrorcode,jobdispatchererrorcode,taskbuffererrorcode,pilottiming,files_info
7676783719,0,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,6,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,0,0,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,
9547372899,2821,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,4,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,0,0,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,
8656167619,4132,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,19,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,0,0,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,
4399526009,7974,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,27,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,14,16098480351,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,"{""125"": 1165469826, ""288"": 1272520228, ""966"": 168631146, ""2569"": 1996809197, ""3206"": 1654450724, ""3329"": 1322955375, ""3473"": 9267646, ""3635"": 1211226817, ""4078"": 703077826, ""5175"": 1681661162, ""5373"": 934376320, ""5788"": 636560581, ""5837"": 1372381131, ""6293"": 1969092372}"
4628137675,10298,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,20,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,2,3737215162,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,"{""3551"": 1962063975, ""7364"": 1775151187}"
7714258623,11213,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,17,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,10,14889962635,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,"{""19"": 224327284, ""28"": 1676731607, ""1310"": 2211584493, ""1433"": 1797532478, ""1492"": 899273731, ""2900"": 1945786140, ""3269"": 899102213, ""3858"": 1641661686, ""5059"": 1489551131, ""5457"": 2104411872}"
6845199291,11292,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,20,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,0,0,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,
5078158000,11319,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,13,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,0,0,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,
5362364096,11906,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,20,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,0,0,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,
5043099334,12349,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,22,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,0,0,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,
3921685706,12833,1/27/2025 3:10,1/27/2025 3:30,,1000,-479,finished,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0/.6491382496,5886,27,1,9672,1167,0.608560794,user.ktakada.data16_13TeV.periodL.AOD_ZMUMU.repro26_v01.4l_20250121_ver0_EXT0.584736381.584736381,,,,8,0,0,1,199164530,0,0,0,0,0,0|5|1181|5|3|8,
